Thema,Bild,Nummer,Titel,Format,Technik,Jahr,Standort,Preis
ZU,,ZU_001,"90 Henrystr., Brooklyn Heights", 74x74,Frottage,2000,Luzie,
ZU,,ZU_003,"Soho NYC", 74x74,Frottage,2000,Luzie,
ZU,,ZU_005,"Varickstr./Carminestr.", 74x74,Frottage,2000,Luzie,
ZU,,ZU_006,"Brdw./Grndstr", 74x74,Frottage,2000,Luzie,
ZU,,ZU_007,"Woostr. Soho", 122x122,Frottage,2000,Luzie,
ZU,,ZU_008,"Peckslip/Frontsr Fishmarket", ,Frottage,2001,Luzie,
ZU,,ZU_009,"Irvingplc.", 98x98,Frottage,2000,Luzie,
ZU,,ZU_009b,"", ,Frottage,2000,Luzie,
ZU,,ZU_010,"Broomestr./Mercerstr. Soho", 100x98,Frottage,2000,Luzie,
ZU,,ZU_011,"Middaghstr. Brooklyn", 98x108,Frottage,2000,Luzie,
ZU,,ZU_012,"Grndstr. /Woosterstr. Soho", 106x106,Frottage,2000,Luzie,
ZU,,ZU_013,"Braodway Bronx, 240/241str", ,Frottage,2001,Luzie,
ZU,,ZU_014,"Crosbystr. Broomestr.", 107x107,Frottage,2000,Luzie,
ZU,,ZU_015,"Wayverlyplace Ave of the Americas", 74x74,Frottage,2000,Luzie,
ZU,,ZU_016,"Howardstr. La Fayette", 107x107,Frottage,2000,Luzie,
ZU,,ZU_017,"Willowstr. Orangestr. ", 106x106,Frottage,2000,Luzie,
ZU,,ZU_018,"Columbia Heights Brooklyn", 107x107,Frottage,2000,Luzie,
ZU,,ZU_066,na,na,na,na,missing,
ZU,,ZU_019,"19", ,Frottage,2000,Luzie,
ZU,,ZU_020,"20", ,Frottage,2000,Luzie,
ZU,,ZU_021,"21", ,Frottage,2000,Luzie,
ZU,,ZU_023,"23", ,Frottage,2000,Luzie,
ZU,,ZU_024,"24", ,Frottage,2000,Luzie,
ZU,,ZU_025,"25", ,Frottage,2000,Luzie,
ZU,,ZU_026,"26", ,Frottage,2000,Luzie,
ZU,,ZU_027,"27", ,Frottage,2000,Luzie,
ZU,,ZU_028,"28", ,Frottage,2000,Luzie,
ZU,,ZU_030,"30", ,Frottage,2000,Luzie,
ZU,,ZU_031,"31", ,Frottage,2000,Luzie,
ZU,,ZU_034,"34", ,Frottage,2000,Luzie,
ZU,,ZU_035,"35", ,Frottage,2000,Luzie,
ZU,,ZU_037,"37", ,Frottage,2000,Luzie,
