Thema,Bild,Nummer,Titel,Format,Technik,Jahr,Standort,Preis
AAA,,AAA001,Selbstportrait,70 x 50 cm,Graphit/Papier/Holz,Ohne Jahr,missing,800
AAA,,AAA002,Blaue Herzdame,70 x 50 cm,Öl/Bw.,Ohne Jahr,missing,800
AAA,,AAA003,Niklas auf Tür,200 x 80 cm,Graphit/Papier,1986,Galerie Inge x,
AAA,,AAA004,Gespiegeltes Selbstportrait,80 x 65 cm,Öl/Bw.,Ca. 1984,Luzie,900
AAA,,AAA005,"Tony Torrillhon, der Kupeferstecher I",75 x 50 cm,Graphit/Papier,1990,missing,350
AAA,,AAA006,T.-T.- II,75 x 50 cm,Graphit/Papier,1990,missing,350
AAA,,AAA007,T.-T.- III (Toni Torrihon),75 x 50 cm,Graphit/Papier,1990,missing,350
AAA,,AAA008,Niklas mehrmals,75 x 50 cm,Graphit/Papier,2000/2005,Luzie,500
AAA,,AAA009,"Niklas Trüstedt, der Gambenspieler",120 x 100 cm,Graphit/Acryl/Papier,2002,missing,700
AAA,,AAA010,"M.-V.  (Meyer-Vorfelder,  Fußball)",80 x 100 cm,Graphit/Acryl/Lwd.,2005,Luzie,300
AAA,,AAA011,St.L.,100 x 80 cm,Graphit/Acryl/Lwd.,2006,Luzie,550
AAA,,AAA_012,St.L. (mit Hand),100 x 80 cm,Graphit/Öl/Lwd.,2005,Luzie,500
AAA,,AAA  013,P.,100 x 80 cm,Acryl/Lwd.,2006,Luzie,450
AAA,,AAA 014,Leszek Kolakowski,100 x 80 cm,Graphit/Lwd.,2010,Luzie,400
AAA,,AAA 015,M.,100 x 80 cm,Öl/Lwd.,2006,Luzie,450
AAA,,AAA 016,J.F.,100 x 80 cm,Öl/Lwd.,2006,Luzie,400
AAA,,AAA 017,M.R.-R.,100 x 80 cm,Öl/Lwd.,2006,Luzie,400
AAA,,AAA 018,Leszek Kolakowski II,,,,missing,
AAA,,AAA 019,Tatjana,,,,missnig,
AAA,,AAA 020,Frau,70 x 50 cm,Graphit/Papier,1984,"Bes. Sara Palmunen, Helsinki",
AAA,,AAA 021,Selbstportrait,,,,missing,
AAA,,AAA 101,Portrait,60 x 40 cm,Mischt./Leinwand,,Luzie,200
AAA,,AAA 102,Portrait,80 x 60 cm,Mischt./Leinwand,,Luzie,200
AAA,,AAA 103,Laurie Anderson,80 x 70 cm,Mischt./Leinwand,,Luzie,200
AAA,,AAA 104,Der Fußballer,110 x 105 cm,Mischt./Leinwand,,Luzie,350
LFG,,LFG 001,Welttheater,80 x 60 cm,Öl/Nessel,1985,Bernhard Lensing,
LFG,,LFG 002,Orpheus auf dem Weg in die Unterwelt,150 x 110 cm,Öl/Eit./Lwd.,1986,Till Burkhardt München,
LFG,,LFG 003,Tag und Nacht,60 x 80 cm,Öl/Holz,1986,Galerie wiese Rotenburg oder Niklas,
LFG,,LFG 004,Blaugrünes Wunder,75 x 95 cm,Öl/Nessel,1991,"DR W. Spann, Gabriele Spann München",
LFG,,LFG 005,Schwangere Auster I,215 x 145 cm,Öl/Lwd.,1988,Droste Immobilien Pistor Kurfürstendamm,
LFG,,LFG 006,Schwangere Auster II,215 x 145 cm,Öl/Lwd.,1988,Droste Immobilien Pistor Kurfürstendamm,
LFG,,LFG 007,Schlucht (Phaetons Sturz),160 x 120 cm,Mischt./Lwd.,1996/1998,Borghees,1200
LFG,,LFG 008,Jeder spielt für sich allein,105 x 125 cm,Öl/Lwd.,1992,Tanja Henningsen,
LFG,,LFG 009,Adam und Eva vor dem Sündenfall,70 x 50 cm,Öl/Lwd.,1998,Felix,
LFG,,LFG 010,Liebe kann kopflos machen,160 x 130 cm,Öl/Lwd.,2008,Luzie,
LFG,,LFG 011,Figurenspiele in Ocker I,60 x 40 cm,Mischt./Lwd.,2003,missing,450
